2017 final AP poll,,,,,2016 final AP poll,,,,2015 final AP poll,,,,2015 final AP poll,,,,2013 final AP poll,,,,2012 final AP poll,,,,2011 final AP poll,,,,2010 final AP poll,,,,2009 final AP poll,,,,2008 final AP poll,,,,2007 final AP poll,,,,2006 final AP poll,,,,2005 final AP poll,,,,2004 final AP poll,,,,2003 final AP poll,,,,2002 final AP poll,,,,2001 final AP poll,,,,2000 final AP poll,,,,1999 final AP poll,,,,1998 final AP poll,,,,1997 final AP poll,,,
Rank,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team,Record,Points,Previous
11,Notre Dame,10/3,857,14,Oklahoma State,10/3,920,13,Notre Dame,10/3,953,8,Notre Dame,10/3,953,8,Stanford,11/3,936,5,Clemson,11/2,889,14,Michigan State,11/3,873,12,Nevada,13-1,866,13,Oregon,10/3,886,7,Boise State,12/1,938,9,Texas,10/3,962,17,Oklahoma,11/3,933,7,Texas Christian,11/1,937,14,Miami-Florida,9/3,917,14,Florida State,10/3,905,9,Alabama,10/3,988,13,Maryland,10/2,"1,065",6,Michigan,9/3,"1,061",17,Penn St,10/3,"1,038",13,Texas A&M,10-4*,"1,071",8,Auburn,10/3,"1,025",13
12,Southern Cal,11/3,839,8,Stanford,10/3,730,16,Michigan,10/3,911,17,Michigan,10/3,911,17,Ohio State,12/2,816,7,Kansas State,11/2,871,7,Michigan,11/2,839,13,Arkansas,10/3,863,8,Brigham Young,11/2,806,15,Texas Tech,11/2,916,8,Tennessee,10/4,904,16,Rutgers,11/2,884,16,Florida,9/3,817,16,Boise State,11/1,888,10,Texas,10/3,887,5,North Carolina State,11/3,943,17,Illinois,10/2,"1,045",7,Texas,9/3,894,12,Florida,9/4,941,10,Michigan,10/3,"1,052",15,Ohio St.,10/3,975,9
13,Miami-Florida,10/3,769,11,Louisiana State,8/4,651,19,Baylor,10/3,820,18,Baylor,10/3,820,18,Baylor,11/2,778,6,Louisville,11/2,781,22,Baylor,10/3,780,15,Oklahoma State,11/2,833,16,Georgia Tech,11/3,768,9,Georgia,10/3,903,16,Florida,9/4,685,9,Texas,10/3,772,18,Oregon,10/2,817,6,Tennessee,10/3,868,15,Mississippi,10/3,845,16,Maryland,11/3,844,20,South Carolina,9/3,975,14,Purdue,8/4,765,14,Mississippi St,10/2,923,15,Air Force,12/1,980,16,LSU,9/3,856,15
14,Oklahoma State,10/3,758,17,Florida,9/4,640,20,Florida State,10/3,630,9,Florida State,10/3,630,9,Louisiana State,10/3,717,14,Louisiana State,10/3,756,9,Texas Christian,11/2,653,16,Michigan State,11/2,696,7,Nebraksa,10/4,724,20,Mississippi,9/4,857,20,Brigham Young,11/2,654,19,California,10/3,697,20,Auburn,9/3,799,7,Michigan,9/3,842,13,Kansas State,11/4,833,8,Auburn,9/4,821,19,Syracuse,10/3,856,18,Colorado St,10/2,640,23,So Mississippi,9/3,788,16,Georgia,9/3,785,19,Arizona St.,8/3,773,16
15,Michigan State,10/3,705,18,Western Michigan,13-1,619,12,North Carolina,11/3,563,10,North Carolina,11/3,563,10,Louisville,12/1,693,18,Oklahoma,10/3,615,12,Kansas State,10/3,621,11,Mississippi State,9/4,578,21,Pittsburgh,10/3,697,17,Virginia Tech,10/4,713,21,Auburn,9/4,648,22,Arkansas,10/4,677,12,Wisconsin,10/3,786,21,Florida State,9/3,754,17,Tennessee,10/3,695,6,Boise State,12/1,692,18,Florida St,8/4,686,24,Notre Dame,9/3,611,10,Miami Fla,9/4,678,23,Texas,9/3,740,20,Purdue,9/3,715,17
16,Washington,10/3,668,12,Virginia Tech,10/4,610,18,Louisiana State,9/3,546,22,Louisiana State,9/3,546,22,UCLA,10/3,632,17,Utah State,11/2,456,18,Oklahoma,10/3,572,19,Virginia Tech,11/3,577,12,Wisconsin,10/3,571,24,Oklahoma State,9/4,534,13,Arizona State,10/3,587,12,Brigham Young,11/2,673,19,UCLA,10/2,778,17,Louisiana State,9/3,711,12,Boise State,13-1,645,18,Penn State,9/4,675,10,Stanford,9/3,673,11,Clemson,9/3,563,16,Georgia,8/4,640,21,Arkansas,9/3,621,11,Penn St.,9/3,706,11
17,Northwestern,10/3,528,20,Colorado,10/4,585,11,Utah,10/3,499,20,Utah,10/3,499,20,Oklahoma State,10/3,598,13,Northwestern,10/3,443,21,West Virginia,10/3,547,23,Florida State,10/4,502,23,Louisiana State,9/4,501,13,Cincinnati,11/3,506,12,Cincinnati,10/3,566,20,Notre Dame,10/3,553,11,Miami-Florida,9/3,589,9,Wisconsin,9/3,482,16,Maryland,10/3,564,23,Notre Dame,10/3,657,11,Louisville,11/2,621,23,Georgia Tech,9/3,545,15,Arkansas,8/4,575,24,Penn State,9/3,619,22,Colorado St.,11/2,673,18
18,Louisiana State,9/4,368,16,West Virginia,10/3,368,14,Navy,11/2,465,21,Navy,11/2,465,21,Texas A&M,9/4,459,20,Boise State,11/2,419,20,Houston,13-1,518,20,Missouri,10/3,477,14,Utah,10/3,491,23,Oregon State,9/4,467,24,Michigan,9/4,508,NR,Wake Forest,11/3,551,19,Boston College,9/3,545,19,Texas Tech,8/4,476,23,Purdue,9/4,526,12,Virginia Tech,10/4,544,21,Virginia Tech,8/4,437,15,Auburn,9/4,498,20,Minnesota,8/4,452,12,Virginia,9/3,544,13,Washington,8/4,617,21
19,Mississippi State,9/4,359,24,South Florida,11/2,358,25,Oregon,9/4,391,15,Oregon,9/4,391,15,Southern Cal,10/4,299,NR,Texas,9/4,358,NR,Georgia,10/4,439,18,Texas A&M,9/4,359,18,Miami-Florida,9/4,310,14,Missouri,10/4,435,25,Hawaii,12/1,460,10,Virginia Tech,10/3,407,14,Louisville,9/3,410,15,Arizona State,9/3,463,21,Nebraska,10/3,520,22,Pittsburgh,9/4,520,24,Washington,8/4,414,21,South Carolina,8/4,486,NR,Oregon,9/3,358,NR,Nebraska,9/4,454,14,Southern Miss.,9/3,490,22
20,Stanford,9/5,336,15,Miami-Florida,9/4,338,NR,Oklahoma State,10/3,372,13,Oklahoma State,10/3,372,13,Notre Dame,9/4,256,25,Oregon State,9/4,303,15,Southern Miss,12/2,411,22,Nebraska,10/4,334,17,Mississippi,9/4,296,NR,Iowa,9/4,317,NR,Illinois,9/4,443,13,Boston College,10/3,353,23,Texas Tech,9/3,359,18,Ohio State,8/4,423,24,Minnesota,10/3,368,24,Colorado,9/5,307,14,Michigan,8/4,325,17,Georgia,8/4,430,24,Georgia Tech,8/4,345,17,Miami (Fla.),9/3,426,24,Texas A&M,9/4,421,20
21,South Florida,10/2,267,23,Louisville,9/4,277,15,Wisconsin,10/3,332,23,Wisconsin,10/3,332,23,Arizona State,10/4,255,16,San Jose State,11/2,243,24,Virginia Tech,11/3,329,17,Central Florida,11/3,225,NR,Texas Tech,9/4,224,NR,Florida State,9/4,246,NR,Clemson,9/4,353,15,Oregon State,10/4,291,24,Clemson,8/4,339,23,Boston College,9/3,314,25,Utah,10/2,308,25,Florida State,9/5,291,16,Boston College,8/4,318,NR,TCU,10/2,406,13,Texas,9/5,340,14,Missouri,8/4,335,23,Syracuse,9/4,331,14
22,Boise State,11/3,251,25,Tennessee,9/4,253,NR,Tennessee,9/4,260,NR,Tennessee,9/4,260,NR,Wisconsin,9/4,245,19,Northern Illinois,12/2,227,16,Clemson,10/4,188,14,South Carolina,9/5,169,19,Southern Cal,9/4,216,NR,Georgia Tech,9/4,223,14,Texas Tech,9/4,308,NR,Texas Christian,11/2,279,25,Oklahoma,8/4,329,NR,Fresno State,9/3,203,NR,Clemson,9/4,230,NR,Virginia,9/5,250,NR,Georgia,8/4,277,16,LSU,8/4,340,NR,Mississippi,8/4,281,NR,Notre Dame,9/3,315,17,Mississippi,8/4,255,-
23,North Carolina State,9/4,232,NR,Utah,9/4,222,NR,Northwestern,10/3,203,12,Northwestern,10/3,203,12,Duke,10/4,190,22,Vanderbilt,9/4,180,NR,Florida State,9/4,154,25,Maryland,9/4,144,NR,Central Michigan,12/2,166,25,West Virginia,9/4,144,NR,Oregon,9/4,253,NR,Georgia,9/4,204,NR,Florida State,8/5,232,22,Virginia,8/4,157,18,Bowling Green,11/3,189,NR,Texas Christian,10/2,231,NR,Toledo,10/2,237,25,Wisconsin,9/4,208,NR,Texas A&M,8/4,272,18,Virginia Tech,9/3,256,NR,Missouri,7/5,175,19
24,Virginia Tech,9/4,126,22,Auburn,8/5,206,17,Western Kentucky,12/2,128,25,Western Kentucky,12/2,128,25,Vanderbilt,9/4,117,NR,Michigan,8/5,147,19,Nebraska,9/4,143,21,Tulsa,10/3,128,NR,Clemson,9/5,125,NR,Michigan State,9/4,138,19,Wisconsin,9/4,202,18,Penn State,9/4,183,NR,Nebraska,8/4,128,NR,Navy,10/2,126,NR,Florida,8/5,165,17,Marshall,11/2,201,NR,Georgia Tech,8/5,178,NR,Mississippi St,8/4,197,NR,Illinois,8/4,201,NR,Purdue,9/4,236,NR,Oklahoma St.,8/4,72,24
25,Memphis,10/3,119,19,San Diego State,11/3,113,NR,Florida,10/4,126,19,Florida,10/4,126,19,Washington,9/4,109,NR,Nebraska,10/4,119,23,Cincinnati,10/3,103,NR,North Carolina State,9/4,119,NR,West Virginia,9/4,91,18,Brigham Young,10/3,137,17,Oregon State,9/4,110,NR,Tennessee,9/4,181,17,California,8/4,45,NR,Pittsburgh,8/4,99,19,Texas Christian,11/2,126,19,West Virginia,9/4,195,15,,,,,Iowa St,9/3,188,NR,Purdue,7/5,198,19,Syracuse,8/4,161,18,Georgia Tech,7/5,64,-
